log_target,Prediction Status Baseline
5.564520407322694,0.0
3.044522437723423,0.0
0.0,1.0
0.0,1.0
3.1354942159291497,0.0
3.9889840465642745,0.0
2.3978952727983707,1.0
2.772588722239781,0.0
2.833213344056216,0.0
3.091042453358316,0.0
2.5649493574615367,0.0
2.9444389791664403,0.0
0.0,1.0
0.0,1.0
2.9444389791664403,0.0
0.0,1.0
3.6375861597263857,0.0
5.0106352940962555,0.0
3.4339872044851463,0.0
2.995732273553991,0.0
3.332204510175204,0.0
0.0,1.0
3.4657359027997265,0.0
2.3978952727983707,1.0
3.2188758248682006,0.0
2.302585092994046,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
2.302585092994046,1.0
3.912023005428146,0.0
0.0,1.0
3.2188758248682006,0.0
2.5649493574615367,0.0
2.0794415416798357,1.0
3.044522437723423,0.0
3.044522437723423,0.0
4.836281906951478,0.0
2.6390573296152584,0.0
3.6375861597263857,0.0
3.258096538021482,0.0
3.9318256327243257,0.0
2.5649493574615367,0.0
4.543294782270004,0.0
2.3978952727983707,1.0
4.997212273764115,0.0
2.772588722239781,0.0
0.0,1.0
0.0,1.0
3.044522437723423,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.791759469228055,1.0
2.8903717578961645,0.0
5.4680601411351315,0.0
5.087596335232384,0.0
4.406719247264253,0.0
0.0,1.0
3.258096538021482,0.0
0.0,1.0
0.0,1.0
2.70805020110221,0.0
3.1780538303479458,0.0
0.0,1.0
1.6094379124341003,1.0
3.4339872044851463,0.0
0.0,1.0
0.0,1.0
2.4849066497880004,0.0
2.0794415416798357,1.0
2.6390573296152584,0.0
2.3978952727983707,1.0
3.7612001156935624,0.0
0.0,1.0
2.4849066497880004,0.0
3.5553480614894135,0.0
2.0794415416798357,1.0
0.0,1.0
0.0,1.0
0.0,1.0
4.442651256490317,0.0
2.4849066497880004,0.0
0.0,1.0
2.772588722239781,0.0
3.6375861597263857,0.0
3.58351893845611,0.0
3.258096538021482,0.0
2.772588722239781,0.0
3.091042453358316,0.0
3.258096538021482,0.0
3.332204510175204,0.0
0.0,1.0
2.0794415416798357,1.0
3.828641396489095,0.0
2.9444389791664403,0.0
1.791759469228055,1.0
0.0,1.0
3.1354942159291497,0.0
0.0,1.0
0.0,1.0
2.3978952727983707,1.0
2.772588722239781,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
2.302585092994046,1.0
0.0,1.0
1.791759469228055,1.0
0.0,1.0
0.0,1.0
3.258096538021482,0.0
2.772588722239781,0.0
2.70805020110221,0.0
1.9459101490553132,1.0
0.0,1.0
2.302585092994046,1.0
0.0,1.0
2.995732273553991,0.0
3.044522437723423,0.0
3.258096538021482,0.0
3.713572066704308,0.0
3.367295829986474,0.0
4.07753744390572,0.0
5.14166355650266,0.0
1.9459101490553132,1.0
0.0,1.0
0.0,1.0
3.5553480614894135,0.0
1.9459101490553132,1.0
5.402677381872279,0.0
0.0,1.0
3.5553480614894135,0.0
4.897839799950911,0.0
3.332204510175204,0.0
2.70805020110221,0.0
4.394449154672439,0.0
2.8903717578961645,0.0
1.9459101490553132,1.0
3.9512437185814275,0.0
2.3978952727983707,1.0
0.0,1.0
0.0,1.0
1.6094379124341003,1.0
1.9459101490553132,1.0
0.0,1.0
2.772588722239781,0.0
2.9444389791664403,0.0
0.0,1.0
0.0,1.0
2.8903717578961645,0.0
3.258096538021482,0.0
4.51085950651685,0.0
2.70805020110221,0.0
6.478509642208569,0.0
1.791759469228055,1.0
1.9459101490553132,1.0
2.772588722239781,0.0
0.0,1.0
3.258096538021482,0.0
2.70805020110221,0.0
5.739792912179234,0.0
0.0,1.0
2.3978952727983707,1.0
2.833213344056216,0.0
3.8066624897703196,0.0
3.044522437723423,0.0
0.0,1.0
1.791759469228055,1.0
0.0,1.0
4.110873864173311,0.0
0.0,1.0
4.127134385045092,0.0
0.0,1.0
0.0,1.0
3.2188758248682006,0.0
2.9444389791664403,0.0
2.0794415416798357,1.0
3.258096538021482,0.0
2.3978952727983707,1.0
1.791759469228055,1.0
2.70805020110221,0.0
2.1972245773362196,1.0
3.6888794541139363,0.0
3.1354942159291497,0.0
3.8501476017100584,0.0
3.6109179126442243,0.0
1.791759469228055,1.0
3.332204510175204,0.0
3.4965075614664802,0.0
2.302585092994046,1.0
4.07753744390572,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
3.4011973816621555,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
3.9318256327243257,0.0
2.3978952727983707,1.0
1.791759469228055,1.0
1.791759469228055,1.0
2.772588722239781,0.0
2.772588722239781,0.0
4.04305126783455,0.0
0.0,1.0
2.70805020110221,0.0
2.70805020110221,0.0
3.258096538021482,0.0
0.0,1.0
0.0,1.0
0.0,1.0
2.1972245773362196,1.0
0.0,1.0
3.1354942159291497,0.0
2.3978952727983707,1.0
0.0,1.0
3.4011973816621555,0.0
2.6390573296152584,0.0
2.772588722239781,0.0
1.9459101490553132,1.0
3.2188758248682006,0.0
6.453624998892692,0.0
2.772588722239781,0.0
4.897839799950911,0.0
5.225746673713202,0.0
0.0,1.0
3.295836866004329,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.791759469228055,1.0
2.1972245773362196,1.0
2.6390573296152584,0.0
0.0,1.0
0.0,1.0
0.0,1.0
3.871201010907891,0.0
0.0,1.0
3.713572066704308,0.0
1.9459101490553132,1.0
2.3978952727983707,1.0
0.0,1.0
2.3978952727983707,1.0
0.0,1.0
0.0,1.0
5.459585514144159,0.0
5.43372200355424,0.0
3.4339872044851463,0.0
4.442651256490317,0.0
5.62040086571715,0.0
0.0,1.0
0.0,1.0
0.0,1.0
2.6390573296152584,0.0
3.6635616461296463,0.0
1.9459101490553132,1.0
2.3978952727983707,1.0
3.4339872044851463,0.0
2.772588722239781,0.0
2.6390573296152584,0.0
0.0,1.0
3.7376696182833684,0.0
1.791759469228055,1.0
2.0794415416798357,1.0
4.07753744390572,0.0
4.07753744390572,0.0
3.1354942159291497,0.0
2.6390573296152584,0.0
0.0,1.0
0.0,1.0
2.6390573296152584,0.0
0.0,1.0
3.258096538021482,0.0
5.883322388488279,0.0
3.091042453358316,0.0
0.0,1.0
0.0,1.0
3.58351893845611,0.0
2.3978952727983707,1.0
2.302585092994046,1.0
4.2626798770413155,0.0
3.5553480614894135,0.0
3.7612001156935624,0.0
2.3978952727983707,1.0
4.718498871295094,0.0
0.0,1.0
0.0,1.0
1.9459101490553132,1.0
0.0,1.0
3.58351893845611,0.0
2.833213344056216,0.0
0.0,1.0
0.0,1.0
0.0,1.0
3.1354942159291497,0.0
5.327876168789581,0.0
3.784189633918261,0.0
5.081404364984463,0.0
2.0794415416798357,1.0
4.770684624465665,0.0
3.58351893845611,0.0
2.302585092994046,1.0
0.0,1.0
0.0,1.0
3.58351893845611,0.0
3.4011973816621555,0.0
3.295836866004329,0.0
0.0,1.0
0.0,1.0
2.3978952727983707,1.0
0.0,1.0
2.70805020110221,0.0
3.713572066704308,0.0
0.0,1.0
4.3694478524670215,0.0
2.3978952727983707,1.0
3.7612001156935624,0.0
3.1354942159291497,0.0
0.0,1.0
3.091042453358316,0.0
5.308267697401205,0.0
2.833213344056216,0.0
2.70805020110221,0.0
2.8903717578961645,0.0
0.0,1.0
0.0,1.0
5.733341276897746,0.0
2.70805020110221,0.0
1.791759469228055,1.0
2.1972245773362196,1.0
2.1972245773362196,1.0
3.58351893845611,0.0
4.804021044733257,0.0
0.0,1.0
4.6913478822291435,0.0
4.634728988229636,0.0
1.9459101490553132,1.0
2.70805020110221,0.0
6.320768294250582,0.0
0.0,1.0
0.0,1.0
3.58351893845611,0.0
0.0,1.0
2.772588722239781,0.0
3.713572066704308,0.0
0.0,1.0
3.5553480614894135,0.0
3.1354942159291497,0.0
6.421622267806518,0.0
2.302585092994046,1.0
4.663439094112067,0.0
3.9318256327243257,0.0
